Email, True Label , Pred Label
email1,1,1
email2,1,1
email3,1,1
email4,1,1
email5,1,1
email6,1,1
email7,1,1
email8,1,1
email9,1,1
email10,1,1
email11,1,1
email12,1,1
email13,1,1
email14,1,1
email15,1,1
email16,1,1
email17,1,1
email18,1,1
email19,1,1
email20,1,1
email21,1,1
email22,1,1
email23,1,1
email24,1,1
email25,1,1
email26,1,1
email27,1,1
email28,1,1
email29,1,1
email30,1,1
email31,1,1
email32,1,1
email33,1,1
email34,1,1
email35,1,1
email36,1,1
email37,1,1
email38,1,1
email39,1,1
email40,1,1
email41,1,1
email42,1,1
email43,1,1
email44,1,1
email45,1,1
email46,1,1
email47,1,1
email48,1,1
email49,1,1
email50,1,1
email51,1,0
email52,1,1
email53,1,1
email54,1,1
email55,1,1
email56,1,1
email57,1,1
email58,1,1
email59,1,1
email60,1,1
email61,1,1
email62,1,1
email63,1,1
email64,1,1
email65,1,1
email66,0,0
email67,0,0
email68,0,0
email69,0,0
email70,0,0
email71,0,0
email72,0,0
email73,0,1
email74,1,1
email75,0,1
email76,0,1
email77,0,1
email78,0,1
email79,0,0
email80,0,0
email81,0,0
email82,0,0
email83,0,1
email84,1,1
email85,0,0
email86,0,0
email87,0,0
email88,0,0
email89,1,1
email90,1,1
email91,0,1
email92,1,1
email93,0,0
email94,0,0
email95,0,0
email96,0,0
email97,1,1
email98,1,1
email99,1,1
email100,0,0
email101,0,0
email102,1,1
email103,0,0
email104,0,1
email105,1,1
email106,0,0
email107,0,1
email108,0,0
email109,0,0
email110,0,0
email111,0,1
email112,0,0
email113,0,0
email114,0,0
email115,0,0
email116,0,1
email117,0,0
email118,0,0
email119,0,1
email120,0,0
email121,0,0
email122,0,0
email123,0,1
email124,0,1
